name,poi,playfield,trader sells,trader buys,required items,restock (minutes)
Market Cafe,"Argent Headquarters,Argent Trade Station,Bank of Farr,
Bar,Bazarr of Farr,Black Market,
Caledon Inc. Fabrication,Central Trade Station,Colony,
Commons,Croesus Ore Headquarters,Deluxe Resort,
Drydock,Farr Archives,Farr's Arrival,
Fire Base,Frontier Colony,Gas Refinery,
Gold Mine,Habitat,Hanging Garden,
Headquarters,Helios Hydro Plant,Hydroponics,
Kenex Station,Kenex Station 62,Kudos Station,
Luxury Goods Trader,Maintenance Bay,New Hope Shipyard,
Outpost,Outpost Nina,Oxygen Factory,
Pentaxid Mining Facility,Polaris Colony,Polaris Hub,
Private Outpost,Refinery,Research Colony,
Research Headquarters,Research Station,Research Wind,
Rusty Barrel,Sigma Outpost,Spaceport,
Syndicate Casino,Trade Center,Trade Station,
Trade Station Kappa,Trade Station Kimberlite,Trade Station Lapis,
Trade Station Onyx,Trade Station Tourmaline,Traders Commons,
Trading Station,Village,Waystation TP01,
Waystation Zeta","Alien,Arid,Arid Mesa,
AridStarter,Asteroid Field,Barren,
Barren Moon,BarrenMetal,Black Ice,
Brooding Temperate,Desert,Desert Oasis,
DesertBurnt,Elder Barren,Farr Homeworld,
Farr Homeworld Orbit,Frozen Inferno,Glacial Ice,
Ice,Irradiated,Jungle,
Jungle Moon,Lava,LavaNascent,
Metallic Moon,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,OrbitSectorStart,Pentaxid Mining Facility,
Pummeled Desert,Rocky Desert,Sandy Barren Moon,
Snow,SnowStarter,SnowStory,
Station,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Syndicate Casino,
Temperate,Temperate Moon,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station,Tropical,Varnished Barren Moon,
Water,White Desert,ZiraxHomeworld","Akua Sparkling Wine: 1.0-1.25,10-50
Bread: 1.0-1.25,10-50
Cereal: 1.0-1.25,10-50
Cheese: 1.0-1.25,10-50
Cheeseburger: 1.0-1.25,10-50
Dino stew royal: 1.0-1.25,10-50
Energy Drink: 1.0-1.25,10-50
Fried Vegetables: 1.0-1.25,10-50
Fruit Juice: 1.0-1.25,10-50
Fruit pie: 1.0-1.25,10-50
Grilled steak: 1.0-1.25,10-50
Ham: 1.0-1.25,10-50
Herbal Tea: 1.0-1.25,10-50
Milk: 1.0-1.25,10-50
Pizza: 1.0-1.25,10-50
Purified water: 1.0-1.25,10-50
Ratatouille: 1.0-1.25,10-50
Rich Ramen: 1.0-1.25,10-50
Sandwich: 1.0-1.25,10-50
Vegetable Juice: 1.0-1.25,10-50
Vegetable Soup: 1.0-1.25,10-50
Veggie burger: 1.0-1.25,10-50
Waffles: 1.0-1.25,10-50
Ziraxian Salad: 1.0-1.25,10-50","Akua Sparkling Wine: 0.5-0.75,10-80
Bread: 0.5-0.75,10-80
Cereal: 0.5-0.75,10-80
Cheese: 0.5-0.75,10-80
Cheeseburger: 0.5-0.75,10-80
Dino stew royal: 0.5-0.75,10-80
Energy Drink: 0.5-0.75,10-80
Flour: 0.75-0.75,50-200
Fried Vegetables: 0.5-0.75,10-80
Fruit Juice: 0.5-0.75,10-80
Fruit pie: 0.5-0.75,10-80
Fruit: 0.5-0.75,100-300
Grilled steak: 0.5-0.75,10-80
Ham: 0.5-0.75,10-80
Herbal Tea: 0.5-0.75,10-80
Meat: 0.5-0.75,100-300
Milk: 0.5-0.75,10-80
Pizza: 0.5-0.75,10-80
Purified water: 0.5-0.75,10-80
Ratatouille: 0.5-0.75,10-80
Salt: 0.75-1.0,300-2500
Sandwich: 0.5-0.75,10-80
Spice: 0.5-0.75,100-200
Vegetable Juice: 0.5-0.75,10-80
Vegetables: 0.5-0.75,100-400
Veggie burger: 0.5-0.75,10-80
Waffles: 0.5-0.75,10-80",,60
Marshal,Bounty Hunter Office,Trading Station,,"Insignia of Captain Pang (Bounty): 1-1,5000-5000
Insignia of Greeza Zeerzhi (Bounty): 1-1,5000-5000
Insignia of Kreenah Pitoli (Bounty): 1-1,5000-5000
Insignia of Marko Inero (Bounty): 1-1,5000-5000
Insignia of Painbringer Xerxas (Bounty): 1-1,5000-5000
Insignia of Savanth Greenzald (Bounty): 1-1,5000-5000
Insignia of Small Tony (Bounty): 1-1,5000-5000
Insignia of The Steel Hammer (Bounty): 1-1,5000-5000
Insignia of Warlord Khrang (Bounty): 1-1,5000-5000
Insignia of Yerzhu the Smuggler (Bounty): 1-1,5000-5000",,60
Medic,"Attonement Station,Castle of Farr,Central Trade Station,
Droid Factory,Headquarters,Polaris Colony,
Settlement","Arid,Arid Mesa,Desert,
Desert Oasis,Farr Homeworld,Orbit,
Stormy Desert,Trading Station,White Desert","Adrenaline shot: 1.0-1.25,5-10
Anti-Parasite Injection: 1.0-1.25,5-20
Anti-Parasite Pills: 1.0-1.25,5-20
Anti-Radiation Injection: 1.0-1.25,5-20
Anti-Radiation Ointment: 1.0-1.25,5-30
Anti-Radiation Pills: 1.0-1.25,5-20
Antibiotic Injection: 1.0-1.25,5-20
Antibiotic Ointment: 1.0-1.25,5-30
Antibiotic Pills: 1.0-1.25,5-20
Antitoxic Injection: 1.0-1.25,5-20
Antitoxic Ointment: 1.0-1.25,5-30
Antitoxic Pills: 1.0-1.25,5-20
Bandages: 1.0-1.25,5-20
Decontamination Kit: 1.0-1.25,5-10
Detox Kit: 1.0-1.25,5-10
Energy pills: 1.0-1.25,5-10
Health Pack: 1.0-1.25,5-10
Stomach Pills: 1.0-1.25,5-10
Trauma Kit: 1.0-1.25,5-10","Adrenaline shot: 0.5-0.75,10-150
Anti-Parasite Injection: 0.5-0.75,10-150
Anti-Parasite Pills: 0.5-0.75,10-150
Anti-Radiation Injection: 0.5-0.75,10-150
Anti-Radiation Ointment: 0.5-0.75,10-150
Anti-Radiation Pills: 0.5-0.75,10-150
Antibiotic Injection: 0.5-0.75,10-150
Antibiotic Ointment: 0.5-0.75,10-150
Antibiotic Pills: 0.5-0.75,10-150
Antitoxic Injection: 0.5-0.75,10-150
Antitoxic Ointment: 0.5-0.75,10-150
Antitoxic Pills: 0.5-0.75,10-150
Bandages: 0.5-0.75,10-20
Decontamination Kit: 0.5-0.75,10-20
Detox Kit: 0.5-0.75,10-20
Energy pills: 0.5-0.75,10-150
Health Pack: 0.5-0.75,10-20
Stomach Pills: 0.5-0.75,10-150
Trauma Kit: 0.5-0.75,10-20",,60
Medium Delivery Contracts,Distribution Center,Trading Station,,"Medium Sealed Package (Polaris): 1.15-1.15,6-12",,180
Medium Delivery Contracts,Distribution Center,"Trading Station,Zirax Defense Checkpoint",,"Medium Sealed Package (Zirax): 1.18-1.18,6-12",,180
Medium Delivery Contracts,Distribution Center,Trading Station,,"Medium Sealed Package (Pirates): 1.18-1.18,6-12",,180
Medium Delivery Contracts,Distribution Center,Trading Station,,"Medium Sealed Package (Colonists): 1.15-1.15,6-12",,180
Metalsmith,"Gold refinery,Hyper City Colony","Arid,Arid Mesa,BarrenMetal,
Desert,Desert Oasis,Farr Homeworld,
Glacial Ice,MoonDesert,Stormy Desert,
Temperate,Varnished Barren Moon","Aluminium Ore: 1.0-1.25,50-800
Erestrum Ore: 1.0-1.25,50-500
Gold Ore: 1.0-1.25,50-200
Magnesium Ore: 1.0-1.25,50-1200
Neodymium Ore: 1.0-1.25,50-900
Pentaxid Crystal: 1.0-1.25,50-400
Platinum Ore: 1.0-1.25,50-300
Promethium Ore: 1.0-1.25,50-800
Raw Diamond: 1.0-1.25,10-60
Sathium Ore: 1.0-1.25,50-2200
Titanium Ore: 1.0-1.25,50-900
Xenomaterial: 1.0-1.25,50-1200
Zascosium Ore: 1.0-1.25,50-500","Furnace: 0.5-0.75,5-15",,60
Micro-Mechanical,"Bazarr of Farr,Big Market,Blue Moon,
Brotherhood Mission,Hideout Maria,Horizon Outpost,
Main Trade Hub,Maintenance Bay,Okeanus Outpost,
Optronics Factory,Polaris Colony,Research Station,
Resupply station,Sand Crawler,Scavenger Base,
Settlement,Sigma Outpost","Alien,Arid,Arid Mesa,
Asteroid Field,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Desert,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld,Farr Homeworld Orbit,Frozen Inferno,
Glacial Ice,Ice,Irradiated,
Jungle,Jungle Moon,Lava,
LavaNascent,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Rocky Desert,Sandy Barren Moon,
Snow,SnowStory,Station,
Stormy Desert,Strange Temperate,Swamp,
Swamp Starter,Temperate,Temperate Moon,
Temperate Rainforest,TemperatePlateau,TemperateStarter,
TemperateStarter2,Tropical,Varnished Barren Moon,
Water,White Desert,ZiraxHomeworld","Computer: 1.0-1.25,250-1000
Electronics: 1.0-1.25,500-1000
Energy Regulator: 1.0-1.25,500-1000
Glass Plate: 1.0-1.25,500-1000
Mechanical Components: 1.0-1.25,5000-10000
Motor: 1.0-1.25,50-1000
Optical Fiber: 1.0-1.25,500-1000
Plastic Tubes: 1.0-1.25,500-10000
Steel plate: 1.0-1.25,500-1000","Computer: 0.5-0.75,500-1500
Electronics: 0.5-0.75,1000-2500
Energy Regulator: 0.5-0.75,1000-2500
Glass Plate: 0.5-0.75,1000-2500
Mechanical Components: 0.5-0.75,1000-50000
Motor: 0.5-0.75,100-1500
Optical Fiber: 0.5-0.75,1000-2500
Plastic Tubes: 0.5-0.75,1000-25000
Steel plate: 0.5-0.75,1000-2500",,180
Military Supply Chief,"Hideout Maria,Sector Command,Shipyard,
Trade Center","Alien,Arid,Asteroid Field,
AsteroidFieldHighSecurity,Barren,BarrenMetal,
Black Desert,Crusted Lava,Desert,
DesertBurnt,Jungle,Lava,
LavaNascent,Legacy,MoonDesert,
Nascent,Ocean,Orbit,
Rocky Desert,Stormy Desert,Strange Temperate,
Temperate,Temperate Rainforest,TemperatePlateau,
Tropical,Varnished Barren Moon,Zirax Homeworld Orbit,
ZiraxHomeworld",,"110mm Unguided Missile: 0.75-1.0,500-1000
15x127mm Rounds: 0.75-1.0,250-12000
30x175mm Autocannon Rounds: 0.75-1.0,250-4000
Adrenaline shot: 0.75-1.0,50-100
Advanced Assault Rifle: 0.75-1.0,10-50
Advanced Pulse Rifle: 0.75-1.0,10-50
Anti-Parasite Injection: 0.5-0.75,50-100
Anti-Radiation Injection: 0.5-0.75,50-100
Antibiotic Injection: 0.5-0.75,50-100
Antitoxic Injection: 0.5-0.75,50-100
Armor Booster: 0.75-1.0,50-100
Combat Shotgun: 0.75-1.0,10-50
Emergency rations: 0.75-1.0,50-100
Guided Rocket Launcher: 0.75-1.0,10-50
Heavy Sniper Rifle: 0.75-1.0,10-50
Improved Light Armor: 0.75-1.0,50-100
Jetpack Booster: 0.75-1.0,50-100
LS-22 Laser Pistol: 0.75-1.0,10-50
M-6 Holosight Pistol: 0.75-1.0,10-50
Medium Armor: 0.75-1.0,50-100
Mobility Booster: 0.75-1.0,50-100
Plasma Cannon: 0.75-1.0,10-30
Railgun Projectile: 0.75-1.0,50-1000
Type-A Laser Charge: 0.75-1.0,50-200
Type-A Plasma Cell: 0.75-1.0,50-1000
Type-B Plasma Cell: 0.75-1.0,50-1000",,240
Military Surveillance,"Bazarr of Farr,Drone Base,Major Communications Center,
Orbital Command,Station Theta-4,Trade Station Amethyst,
Traders Commons","ARCHomeworld,Alien,Alien Moon,
Alien Starter,Arid,Arid Mesa,
AridStarter,Asteroid Field,Barren,
Barren Moon,BarrenMetal,Black Ice,
Brooding Temperate,Crystalline Moon,Desert,
Desert Moon,Desert Oasis,DesertBurnt,
Elder Barren,Farr Homeworld,Farr Homeworld Orbit,
Frozen Inferno,Glacial Ice,Hell,
Ice,Ice Moon,Instance,
Irradiated,Jungle,Jungle Moon,
Lava,LavaNascent,Legacy,
Methane,Methane Moon,Midnight,
Mire,MoonBarren,MoonDesert,
MoonPolarisTesting,MoonStarter,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Plasma,Pummeled Desert,
Rocky Desert,Sandy Barren Moon,Snow,
Snow Dwarf Starter,SnowStarter,SnowStory,
Station,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Toxic Moon,
Varnished Barren Moon,Zirax Homeworld Orbit,ZiraxHomeworld",,"Classified Information: 8.0-12.5,100-150
Military Raw Data: 8.0-12.5,100-150
Scout Report: 8.0-12.5,100-150
Surveillance Data: 8.0-12.5,100-150
Troop Movement Report: 8.0-12.5,100-150
Weapon Signatures Report: 8.0-12.5,100-150",,300
MilitaryResearch,"Gas Refinery,Members Market,Sector Command","Arid,Arid Mesa,Barren,
Black Desert,Crusted Lava,Desert,
Desert Oasis,DesertBurnt,Farr Homeworld,
LavaNascent,Legacy,Orbit,
Rocky Desert,Stormy Desert,ZiraxHomeworld","Mutated Substance: 1.0-2.0,5-10
Scientific Keycard: 1.0-1.5,0-1
Xenosteel Blocks: 1.25-1.5,50-500","Alien Organism: 2.0-3.0,50-100
Alien Parts: 1.0-1.25,150-500
Ancient Relics: 2.0-3.0,50-100
Anomalous Data: 8.0-12.5,100-150
Biological Data: 8.0-12.5,100-150
Biological Specimen: 1.0-1.25,150-500
Classified Information: 8.0-10.0,50-100
Disruptor Charge: 0.2-0.4,50-100
Medicinal Growth: 1.0-1.25,150-500
Quantum Processor: 1.0-1.25,50-100
Reactive Xenomatter: 2.0-3.0,50-250
Science Raw Data: 8.0-12.5,100-150
Space Anomalies Report: 8.0-12.5,100-150
Technical Artifact: 2.0-3.0,50-100
Viral Sample: 4.0-8.0,5-10
Xenomaterial: 1.0-2.0,500-1500",,10
Militia Supplier,"Main Trade Hub,Trading Station","Farr Homeworld Orbit,Orbit,Trading Station","12.7mm Sniper Round: 1.4-1.6,0-500
5.8mm Rifle Round: 1.4-1.6,0-500
Assault Rifle: 1.4-1.6,0-3
Bandages: 1.4-1.6,5-10
Colonist Bolter Turret: 1.1-1.2,1-4
Colonist Light Missile Turret: 1.1-1.2,1-2
EVA Booster: 1.4-1.6,0-2
Free Colonists (Poster): 4-6,0-2
Jetpack Booster: 1.4-1.6,0-2
Light Armor: 1.4-1.6,1-3
Light Scout Rifle: 1.4-1.6,0-1
M-5 Pistol: 1.4-1.6,0-3
Pistol Round: 1.4-1.6,0-500
Pulse Rifle: 1.4-1.6,0-3
Shotgun Shell: 1.4-1.6,0-500
Shotgun: 1.4-1.6,0-3
Sniper Rifle: 1.4-1.6,0-3","12.7mm Sniper Round: 0.7-0.8,500-1000
5.8mm Rifle Round: 0.7-0.8,500-1000
Assault Rifle: 0.7-0.8,3-5
Bandages: 0.7-0.8,20-30
Colonist Bolter Turret: 0.7-0.8,4-10
Colonist Light Missile Turret: 0.7-0.8,3-7
EVA Booster: 0.7-0.8,2-4
Free Colonists (Poster): 0.3-0.4,5-10
Jetpack Booster: 0.7-0.8,3-5
Light Armor: 0.7-0.8,5-8
Light Scout Rifle: 0.7-0.8,2-3
M-5 Pistol: 0.7-0.8,3-5
Pistol Round: 0.7-0.8,500-1000
Pulse Rifle: 0.7-0.8,3-5
Shotgun Shell: 0.7-0.8,500-1000
Shotgun: 0.7-0.8,3-5
Sniper Rifle: 0.7-0.8,3-5",,60
Mine Cobalt,"Argent Trade Station,Cobalt Mine,Quad Refinery","Barren Moon,Black Ice,Ice","Cobalt Ore: 0.7-0.9,350-700","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Copper,"Copper Mine,Refinery","Black Ice,Desert,Ice","Copper Ore: 0.7-0.9,750-2000","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Gold,Gold Mine,Metallic Moon,"Gold Ore: 0.7-0.9,350-700","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Iron,Iron Mine,Barren Moon,"Iron Ore: 0.7-0.9,1000-3000","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Neodymium,Neodymium Mine,Arid Mesa,"Neodymium Ore: 0.7-0.9,350-700","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Pentaxid,Pentaxid Mining Facility,"Pentaxid Mining Facility,Station","Pentaxid Crystal: 0.7-0.9,100-200","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Sathium,"Argent Trade Station,Sathium Mine","Barren Moon,Ice","Sathium Ore: 0.7-0.9,1000-3000","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mine Silicon,Silicon Mine,"MoonPolarisTesting,Sandy Barren Moon","Silicon Ore: 0.7-0.9,1000-3000","Drill Charge: 1.1-1.3,50-200
Laser Drill: 1.3-1.6,5-20",,180
Mining Foreman,Mining Foreman,Mining Site Class 3,"Cobalt Ore: 0.7-0.8,100-8000
Copper Ore: 0.7-0.8,100-10000
Erestrum Ore: 0.7-0.8,100-2000
Iron Ore: 0.7-0.8,100-12000
Magnesium Ore: 0.7-0.8,100-4000
Neodymium Ore: 0.7-0.8,100-4000
Promethium Ore: 0.7-0.8,100-2000
Sathium Ore: 0.7-0.8,100-8000
Silicon Ore: 0.7-0.8,100-10000","Auto Miner Core: 1.5-1.8,2-8
Drill Charge: 1.3-1.5,500-1500
Drill Module - Laser: 1.3-1.5,2-6",,180
Mining Foreman (Bauxite),Mining Operation,"Barren,Desert,DesertBurnt,
Ice,LavaNascent,Snow","Aluminium Ore: 0.85-1.1,4000-8000
Iron Ore: 1.25-1.75,300-600
Stone dust: 0.5-0.75,1500-3000","Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,150-300
Geological Data: 3.0-4.0,10-25
Hot Coffee: 0.85-1.0,100-250
Laser Drill: 0.75-1.25,40-80
Plastic Tubes: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Cobaltite),"Mining Operation,Mining Station","Alien,AridStarter,Barren Moon,
DesertBurnt,Ice,Irradiated,
Lava,MoonBarren,MoonStarter,
Ocean,Odd Temperate Starter,Sandy Barren Moon,
Snow,SnowStarter,Swamp,
Temperate,TemperateStarter,TemperateStarter2,
Varnished Barren Moon","Cobalt Ore: 0.85-1.1,3000-6000
Crushed Stone: 0.75-1.0,2500-5000
Sulfur: 1.0-1.5,120-250","Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Laser Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Copper),"Mining Operation,Mining Tower 2","AridStarter,Barren,Barren Moon,
Ice,Irradiated,MoonBarren,
MoonStarter,Ocean,Ocean Starter,
Odd Temperate Starter,Sandy Barren Moon,Snow,
SnowStarter,Swamp,Temperate,
TemperateStarter,TemperateStarter2,Varnished Barren Moon","Copper Ore: 0.85-1.1,4000-8000
Crushed Stone: 0.75-1.0,2500-5000
Sulfur: 1.0-1.5,50-250","Auto Miner Core: 0.75-0.9,10-30
Biofuel: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Mechanical Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Gold),Mining Operation,"BarrenMetal,Lava,LavaNascent,
Swamp","Copper Ore: 0.75-1.25,1000-2000
Crushed Stone: 0.75-1.0,5500-11000
Gold Ore: 1.2-1.5,1000-2000","Antibiotic Ointment: 0.5-0.75,250-350
Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,175-350
Hot Coffee: 0.85-1.0,100-250
Laser Drill Module: 0.5-1.0,15-28
Ore Scanner: 0.5-0.75,40-120
Planetary Resource Data: 3.0-4.0,10-25
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Transportation Booster: 0.75-0.90,20-40",,280
Mining Foreman (Graphite),Industrial Excavator,"Barren Moon,MoonBarren,Sandy Barren Moon,
Snow,Temperate,Varnished Barren Moon","Graphite: 0.85-1.1,2000-4000
Silicon Ore: 1.0-1.5,250-500
Stone dust: 0.75-1.0,2500-5000","Biofuel: 0.5-0.75,150-300
Mechanical Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Hematite),"Mining Operation,Mining Tower 1","AridStarter,Barren,Barren Moon,
Ice,Irradiated,MoonBarren,
MoonStarter,Ocean,Ocean Starter,
Odd Temperate Starter,Sandy Barren Moon,Snow,
SnowStarter,Swamp,Temperate,
TemperateStarter,TemperateStarter2,Varnished Barren Moon","Cobalt Ore: 1.25-1.5,50-120
Crushed Stone: 0.75-1.0,2500-5000
Iron Ore: 0.85-1.1,4000-8000","Auto Miner Core: 0.75-0.9,10-30
Biofuel: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Mechanical Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-400
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Magnesite),Mining Operation,"Alien,Barren Moon,DesertBurnt,
Ice,Irradiated,Lava,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Swamp,Temperate,
Varnished Barren Moon","Magnesium Ore: 0.85-1.1,3000-6000
Stone dust: 0.5-0.75,2500-5000","Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Laser Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Neodymium),Mining Rig,"Barren,Desert,DesertBurnt,
Ice,LavaNascent,Snow","Aluminium Ore: 1.25-1.75,100-250
Crushed Stone: 0.75-1.0,1500-3000
Neodymium Ore: 0.85-1.1,2000-4000","Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,150-300
Geological Data: 3.0-4.0,10-25
Hot Coffee: 0.85-1.0,100-250
Laser Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Pentaxid),Mining Operation,"Alien,Barren Moon,DesertBurnt,
Ice,Irradiated,Lava,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Swamp,Temperate,
Varnished Barren Moon","Crushed Stone: 0.75-1.0,1500-3000
Graphite: 1.25-1.5,80-160
Pentaxid Crystal: 0.85-1.2,2500-5000","Advanced Radiation Shielding Booster: 2.5-3.0,5-8
Anti-Radiation Pills: 0.5-0.75,250-350
Auto Miner Core: 0.75-0.9,10-30
Decontamination Kit: 0.75-0.85,50-100
Hot Coffee: 0.85-1.0,100-250
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Radiation Shielding Booster: 0.75-0.90,40-80
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Promethium),"Asteroid Mining Facility,Mining Operation","Alien,Asteroid Field,Barren Moon,
DesertBurnt,Ice,Irradiated,
Lava,MoonBarren,Ocean,
Orbit,Sandy Barren Moon,Snow,
Station,Swamp,Temperate,
Varnished Barren Moon","Crushed Stone: 0.75-1.0,1500-3000
Neodymium Ore: 1.5-1.75,180-360
Promethium Ore: 0.85-1.2,1500-3000","Anti-Radiation Ointment: 0.5-0.75,250-350
Anti-Radiation Pills: 0.75-0.85,75-150
Armor Booster: 2.5-3.0,15-28
Auto Miner Core: 0.75-0.9,10-30
Hot Coffee: 0.85-1.0,100-250
Light Armor: 0.5-0.75,40-200
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Radiation Shielding Booster: 0.75-0.90,20-40",,240
Mining Foreman (Pyrestrum),Mining Operation,"BarrenMetal,Lava,LavaNascent,
Swamp","Crushed Stone: 0.75-1.0,1500-3000
Erestrum Ore: 0.85-1.2,2500-5000
Sulfur: 1.5-1.75,160-280","Antitoxic Ointment: 0.5-0.75,250-350
Antitoxic Pills: 0.75-0.85,150-300
Auto Miner Core: 0.75-0.9,10-30
Geological Data: 3.0-4.0,10-25
Hot Coffee: 0.85-1.0,100-250
Oxygen Tank Booster: 0.75-1.0,25-38
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Radiation Shielding Booster: 0.75-0.90,40-80
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Quartz),Mining Operation,"Barren,Barren Moon,Ice,
Irradiated,MoonBarren,MoonStarter,
Ocean,Sandy Barren Moon,Snow,
SnowStarter,Swamp,Temperate,
TemperateStarter,Varnished Barren Moon","Graphite: 1.0-1.5,50-250
Silicon Ore: 0.85-1.1,4000-8000
Stone dust: 0.75-1.0,2500-5000","Auto Miner Core: 0.75-0.9,10-30
Biofuel: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Mechanical Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Rutile),Mining Operation,"Alien,Barren Moon,DesertBurnt,
Ice,Irradiated,Lava,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Swamp,Temperate,
Varnished Barren Moon","Crushed Stone: 0.75-1.0,2500-5000
Raw Diamond: 1.5-1.75,20-50
Titanium Ore: 0.85-1.1,3000-6000","Auto Miner Core: 0.75-0.9,10-30
Drill Charge: 0.5-0.75,150-300
Hot Coffee: 0.85-1.0,100-250
Laser Drill: 0.75-1.25,40-80
Oxygen Canister: 0.5-0.75,250-350
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Ventilators: 0.5-0.75,40-200",,120
Mining Foreman (Salt),Salt Extractor,"Alien,Ocean,Temperate","Magnesium Ore: 1.25-1.5,550-1100
Salt: 0.75-1.0,3000-6000
Stone dust: 0.75-1.0,1500-3000","Antibiotic Ointment: 0.75-1.0,50-200
Biofuel: 0.5-0.75,150-300
Mechanical Drill: 0.75-1.25,40-80
Oxygen Tank Booster: 0.5-0.75,40-200
Portable Work Light: 0.75-1.0,100-200
Purified water: 0.5-0.75,350-400",,120
Mining Foreman (Sathylite),Mining Operation,"Barren,Desert,DesertBurnt,
Ice,LavaNascent,Snow","Crushed Stone: 0.75-1.0,2500-5000
Platinum Ore: 0.75-1.25,10-80
Sathium Ore: 1.2-1.5,2000-4000","Auto Miner Core: 0.75-0.9,10-30
Drill Module - Laser: 0.35-0.75,10-20
Hot Coffee: 0.85-1.0,100-250
Industrial Drill Module: 0.5-0.75,20-40
Large Heat Sink: 0.5-0.75,200-400
Laser Drill: 0.5-1.0,15-28
Portable Work Lamp: 0.75-1.0,50-200
Portable Work Light: 0.75-1.0,100-200
Small Heat Sink: 0.5-0.75,300-600",,120
